"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,1.0,1.0,0.00845789909362793,"[[[[Question]]]]: Who was the number two draft pick for 2011?>>>>[[[[Sentence]]]]: This was the first Super Bowl to feature a quarterback on both teams who was the #1 pick in their draft classes.",1.0,0.00845789909362793,"[[[[Question]]]]: Who was the number two draft pick for 2011?>>>>[[[[Sentence]]]]: This was the first Super Bowl to feature a quarterback on both teams who was the #1 pick in their draft classes.","Failed"
1.0,1.0,1.0,0.003810584545135498,"[[[[Question]]]]: What other former halftime show performer joined Coldplay and Beyoncé for the Super Bowl 50 halftime show?>>>>[[[[Sentence]]]]: On January 7, 2016, Pepsi confirmed to the Associated Press that Beyoncé, who headlined the Super Bowl XLVII halftime show and collaborated with Coldplay on the single ""Hymn for the Weekend"", would be making an appearance.",1.0,0.003810584545135498,"[[[[Question]]]]: What other former halftime show performer joined Coldplay and Beyoncé for the Super Bowl 50 halftime show?>>>>[[[[Sentence]]]]: On January 7, 2016, Pepsi confirmed to the Associated Press that Beyoncé, who headlined the Super Bowl XLVII halftime show and collaborated with Coldplay on the single ""Hymn for the Weekend"", would be making an appearance.","Failed"
0.0,1.0,1.0,0.9904304146766663,"[[[[Question]]]]: Who donated Rodin's works to the V&A?>>>>[[[[Sentence]]]]: Rodin is represented by more than 20 works in the museum collection, making it one of the largest collections of the sculptor's work outside France; these were given to the museum by the sculptor in 1914, as acknowledgement of Britain's support of France in World War I, although the statue of St John the Baptist had been purchased in 1902 by public subscription.",1.0,0.9904304146766663,"[[[[Question]]]]: Who donated Rodin's works to the V&A?>>>>[[[[Sentence]]]]: Rodin is represented by more than 20 works in the museum collection, making it one of the largest collections of the sculptor's work outside France; these were given to the museum by the sculptor in 1914, as acknowledgement of Britain's support of France in World War I, although the statue of St John the Baptist had been purchased in 1902 by public subscription.","Skipped"
0.0,1.0,0.0,0.001598656177520752,"[[[[Question]]]]: When was Luther's last sermon?>>>>[[[[Sentence]]]]: His last sermon was delivered at Eisleben, his place of birth, on 15 February 1546, three days before his death.",0.0,0.001598656177520752,"[[[[Question]]]]: When was Luther's last sermon?>>>>[[[[Sentence]]]]: His last sermon was delivered at Eisleben, his place of birth, on 15 February 1546, three days before his death.","Failed"
0.0,1.0,0.0,0.0013782978057861328,"[[[[Question]]]]: Between what dates was the building on Pilgrim Street refurbished?>>>>[[[[Sentence]]]]: The Pilgrim Street building was refurbished between November 2006 and May 2008; during the refurbishment works, the cinema relocated to the Old Town Hall, Gateshead.",0.0,0.0013782978057861328,"[[[[Question]]]]: Between what dates was the building on Pilgrim Street refurbished?>>>>[[[[Sentence]]]]: The Pilgrim Street building was refurbished between November 2006 and May 2008; during the refurbishment works, the cinema relocated to the Old Town Hall, Gateshead.","Failed"
1.0,1.0,1.0,0.0010165572166442871,"[[[[Question]]]]: Who were the ESPN Deportes commentators for Super Bowl 50?>>>>[[[[Sentence]]]]: On December 28, 2015, ESPN Deportes announced that they had reached an agreement with CBS and the NFL to be the exclusive Spanish-language broadcaster of the game, marking the third dedicated Spanish-language broadcast of the Super Bowl.",1.0,0.0010165572166442871,"[[[[Question]]]]: Who were the ESPN Deportes commentators for Super Bowl 50?>>>>[[[[Sentence]]]]: On December 28, 2015, ESPN Deportes announced that they had reached an agreement with CBS and the NFL to be the exclusive Spanish-language broadcaster of the game, marking the third dedicated Spanish-language broadcast of the Super Bowl.","Failed"
1.0,1.0,1.0,0.12555032968521118,"[[[[Question]]]]: What is another word for diatom?>>>>[[[[Sentence]]]]: The diatom endosymbiont's nucleus is present, but it probably can't be called a nucleomorph because it shows no sign of genome reduction, and might have even been expanded.",1.0,0.12555032968521118,"[[[[Question]]]]: What is another word for diatom?>>>>[[[[Sentence]]]]: The diatom endosymbiont's nucleus is present, but it probably can't be called a nucleomorph because it shows no sign of genome reduction, and might have even been expanded.","Failed"
1.0,1.0,1.0,0.0009105205535888672,"[[[[Question]]]]: Between what dates was the building on Pilgrim Street refurbished?>>>>[[[[Sentence]]]]: The site currently houses three cinemas, including the restored Classic —the United Kingdom's last surviving news cinema still in full-time operation—alongside two new screens, a roof extension containing the Tyneside Bar, and dedicated education and teaching suites.",1.0,0.0009105205535888672,"[[[[Question]]]]: Between what dates was the building on Pilgrim Street refurbished?>>>>[[[[Sentence]]]]: The site currently houses three cinemas, including the restored Classic —the United Kingdom's last surviving news cinema still in full-time operation—alongside two new screens, a roof extension containing the Tyneside Bar, and dedicated education and teaching suites.","Failed"
0.0,1.0,0.0,0.007399916648864746,"[[[[Question]]]]: Why did the European nations and Japan separated themselves from United States during the crisis?>>>>[[[[Sentence]]]]: Some European nations and Japan sought to disassociate themselves from United States foreign policy in the Middle East to avoid being targeted by the boycott.",0.0,0.007399916648864746,"[[[[Question]]]]: Why did the European nations and Japan separated themselves from United States during the crisis?>>>>[[[[Sentence]]]]: Some European nations and Japan sought to disassociate themselves from United States foreign policy in the Middle East to avoid being targeted by the boycott.","Failed"
1.0,1.0,1.0,0.2004968523979187,"[[[[Question]]]]: How far from state house in downtown Boston is Harvard Yard?>>>>[[[[Sentence]]]]: west-northwest of the State House in downtown Boston, and extends into the surrounding Harvard Square neighborhood.",1.0,0.2004968523979187,"[[[[Question]]]]: How far from state house in downtown Boston is Harvard Yard?>>>>[[[[Sentence]]]]: west-northwest of the State House in downtown Boston, and extends into the surrounding Harvard Square neighborhood.","Failed"
