"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,1.0,1.0,0.0003377199172973633,"I resisted watching 15 Park Avenue despite of recommendations, discarding the movie as a clichéd topic of extreme emotional dramas and over-the-top acting.<br /><br />Once in a while, movies like 15 Park Avenue come by and sweep you off your feet.<br /><br />The movie grasps your attention pretty early on and there is no moment to rest after that. Aparna Sen has done a wonderful job of gluing the audience to every line of the movie. The impeccable character development, ""just right"" amount of emotions and an enigmatic end to match it all...<br /><br />I have a renewed respect for Konkana Sen Sharma, who convincingly plays the schizophrenic Mithi. She beats expectation yet again after Page-3 and Mr.& Mrs.Iyer. Prof. Anjali's role is very well developed and Shabana does full justice to the character. Rahul Bose, Shefali Chaya, Waheeda Rehman add incredible flavor to the movie.<br /><br />I define ""shower moments"" as thoughts of scenes from a movie that you ponder over in your shower endlessly, till your wife/girlfriend/mom bangs at the door. 15PA delivers many ""shower moments"" especially the conversation between Anjali and her mother where the mother is cautious when talking to Anjali about her thoughts. It immediately brings out Anjali's personality to the audience.<br /><br />The end is a very bold statement by the director; probably too westernized for the Indian audience; yet delivers the elements to promote the movie from a ""good"" to a ""great"" status.",1.0,0.0003377199172973633,"I resisted watching 15 Park Avenue despite of recommendations, discarding the movie as a clichéd topic of extreme emotional dramas and over-the-top acting.<br /><br />Once in a while, movies like 15 Park Avenue come by and sweep you off your feet.<br /><br />The movie grasps your attention pretty early on and there is no moment to rest after that. Aparna Sen has done a wonderful job of gluing the audience to every line of the movie. The impeccable character development, ""just right"" amount of emotions and an enigmatic end to match it all...<br /><br />I have a renewed respect for Konkana Sen Sharma, who convincingly plays the schizophrenic Mithi. She beats expectation yet again after Page-3 and Mr.& Mrs.Iyer. Prof. Anjali's role is very well developed and Shabana does full justice to the character. Rahul Bose, Shefali Chaya, Waheeda Rehman add incredible flavor to the movie.<br /><br />I define ""shower moments"" as thoughts of scenes from a movie that you ponder over in your shower endlessly, till your wife/girlfriend/mom bangs at the door. 15PA delivers many ""shower moments"" especially the conversation between Anjali and her mother where the mother is cautious when talking to Anjali about her thoughts. It immediately brings out Anjali's personality to the audience.<br /><br />The end is a very bold statement by the director; probably too westernized for the Indian audience; yet delivers the elements to promote the movie from a ""good"" to a ""great"" status.","Failed"
1.0,1.0,1.0,0.0005812644958496094,"I don't think the world was ready for this film. I know I wasn't. I'd been expected a standard low-budget schlock exploitation potboiler. Instead, I got the most intelligent reworking of Shakespeare since Peter Greenaway's ""Prospero's Books"". This should become the definitive film version of Romeo And Juliet. It won't of course. But that's the world's loss.",1.0,0.0005812644958496094,"I don't think the world was ready for this film. I know I wasn't. I'd been expected a standard low-budget schlock exploitation potboiler. Instead, I got the most intelligent reworking of Shakespeare since Peter Greenaway's ""Prospero's Books"". This should become the definitive film version of Romeo And Juliet. It won't of course. But that's the world's loss.","Failed"
0.0,1.0,0.0,0.00037860870361328125,"This film is bad, yes, but had the producers used a REAL KANGAROO, it would have killed the actor it was boxing with. I am an Australian and I have seen two seven foot tall male 'Roos fighting each other, it is not a pretty sight as the object is for one or the other to kill it's opponent,(this is there way of securing the herd of females) and there are incidents where someone has boxed a kangaroo, and been injured or killed, so when you see a kangaroo on TV or Film it is likely to be a female, or Animated, as it is a good idea not to injure actors (they might be annoyed at losing the ability to breath). There is a strange idea that Australian animals are cute and cuddly, that is false, many are dangerous (10 of the 12 most deadliest snakes live here)and most are just plain ugly (Koalas are as soft as steal wool). So if you come to Australia BE CAREFULL!!!",0.0,0.00037860870361328125,"This film is bad, yes, but had the producers used a REAL KANGAROO, it would have killed the actor it was boxing with. I am an Australian and I have seen two seven foot tall male 'Roos fighting each other, it is not a pretty sight as the object is for one or the other to kill it's opponent,(this is there way of securing the herd of females) and there are incidents where someone has boxed a kangaroo, and been injured or killed, so when you see a kangaroo on TV or Film it is likely to be a female, or Animated, as it is a good idea not to injure actors (they might be annoyed at losing the ability to breath). There is a strange idea that Australian animals are cute and cuddly, that is false, many are dangerous (10 of the 12 most deadliest snakes live here)and most are just plain ugly (Koalas are as soft as steal wool). So if you come to Australia BE CAREFULL!!!","Failed"
1.0,1.0,1.0,0.00013375282287597656,"Lush cinematography, beautifully written and edited, John Boorman's Beyond Rangoon is a must-see for anyone interested in world politics and the arc of personal transformation. It interweaves a personal and political tale that continues to haunt me, popping up in my mind's eye with frequency. The story line is gripping, and the inner and outer journeys are paralleled carefully and delicately both cinematically, and in the story line. I've watched this film at least six times, and it really holds up to scrutiny. It is particularly relevant today, given world events. Check it out, you won't regret it! BTW, NetFlix does not yet carry it, but you can request that they do.",1.0,0.00013375282287597656,"Lush cinematography, beautifully written and edited, John Boorman's Beyond Rangoon is a must-see for anyone interested in world politics and the arc of personal transformation. It interweaves a personal and political tale that continues to haunt me, popping up in my mind's eye with frequency. The story line is gripping, and the inner and outer journeys are paralleled carefully and delicately both cinematically, and in the story line. I've watched this film at least six times, and it really holds up to scrutiny. It is particularly relevant today, given world events. Check it out, you won't regret it! BTW, NetFlix does not yet carry it, but you can request that they do.","Failed"
1.0,1.0,1.0,0.0012679696083068848,"Spike Milligan's books and plays have defeated film makers over the years, and 2002's 'Puckoon' is sadly no exception. The novel, set in 1924, concerns the partitioning of Ireland, in particular its effects on a solitary community ( the 'Puckoon' of the title ). Due to a colossal blunder, half the village is now in Northern Ireland, the other half is in the Republic. Locals go to the toilets at the bottom of their gardens to find a barbed wire fence blocking their path. Drinkers crowd like sardines into a corner of the pub to enjoy a cheaper pint. A dead man has to have a passport made out in his name before villagers can reach the churchyard to bury him.<br /><br />'Puckoon' is a sort of Irish 'Under Milk Wood' with comic characters and surreal happenings galore. The lead character, Dan Milligan ( renamed 'Madigan' in the film ) is impishly played by Sean Hughes, and has conversations with the narrator ( Richard Attenborough ). Also in the film is Milo O'Shea, Griff Rhys Jones, David Kelly ( from 'Robin's Nest' ), Freddie Jones, Joe McGann, and Elliott Gould.<br /><br />Interviewed for the 'Making of 'Puckoon' documentary, writer/director Terence Ryan expressed undying admiration for the book. It shows on screen. But, alas, like the ill-fated film of 'The Hitch-Hiker's Guide To The Galaxy', a good book does not necessarily make a good film. The trouble with 'Puckoon' is that, like Milligan's other books, they simply do not work on the big screen. 'Puckoon' is essentially a collection of jokes in search of a plot.<br /><br />No way can the film be compared to train wrecks like 'Sex Lives Of The Potato Men', 'Fat Slags', and 'Lesbian Vampire Killers', but then neither is it as good as it should have been. The last half-hour involves a lot of running around by the police, the British army, some locals who have stashed explosives in a coffin, and is really tedious to sit through. Ryan's decision to stick closely to the book is the main reason for its failure to work as a film.<br /><br />The other problem is the total absence of charm. 'Waking Ned' had this in spades, while the 'Father Ted' television series was funnier by far. Spike lived long enough to see the film, and apparently enjoyed it. His daughter, Jane, has a cameo as Madigan's bride.<br /><br />The highlight for me though was the quotation at the beginning: ""I don't mind dying!"", said Spike: ""I just don't want to be there when it happens!"".",1.0,0.0012679696083068848,"Spike Milligan's books and plays have defeated film makers over the years, and 2002's 'Puckoon' is sadly no exception. The novel, set in 1924, concerns the partitioning of Ireland, in particular its effects on a solitary community ( the 'Puckoon' of the title ). Due to a colossal blunder, half the village is now in Northern Ireland, the other half is in the Republic. Locals go to the toilets at the bottom of their gardens to find a barbed wire fence blocking their path. Drinkers crowd like sardines into a corner of the pub to enjoy a cheaper pint. A dead man has to have a passport made out in his name before villagers can reach the churchyard to bury him.<br /><br />'Puckoon' is a sort of Irish 'Under Milk Wood' with comic characters and surreal happenings galore. The lead character, Dan Milligan ( renamed 'Madigan' in the film ) is impishly played by Sean Hughes, and has conversations with the narrator ( Richard Attenborough ). Also in the film is Milo O'Shea, Griff Rhys Jones, David Kelly ( from 'Robin's Nest' ), Freddie Jones, Joe McGann, and Elliott Gould.<br /><br />Interviewed for the 'Making of 'Puckoon' documentary, writer/director Terence Ryan expressed undying admiration for the book. It shows on screen. But, alas, like the ill-fated film of 'The Hitch-Hiker's Guide To The Galaxy', a good book does not necessarily make a good film. The trouble with 'Puckoon' is that, like Milligan's other books, they simply do not work on the big screen. 'Puckoon' is essentially a collection of jokes in search of a plot.<br /><br />No way can the film be compared to train wrecks like 'Sex Lives Of The Potato Men', 'Fat Slags', and 'Lesbian Vampire Killers', but then neither is it as good as it should have been. The last half-hour involves a lot of running around by the police, the British army, some locals who have stashed explosives in a coffin, and is really tedious to sit through. Ryan's decision to stick closely to the book is the main reason for its failure to work as a film.<br /><br />The other problem is the total absence of charm. 'Waking Ned' had this in spades, while the 'Father Ted' television series was funnier by far. Spike lived long enough to see the film, and apparently enjoyed it. His daughter, Jane, has a cameo as Madigan's bride.<br /><br />The highlight for me though was the quotation at the beginning: ""I don't mind dying!"", said Spike: ""I just don't want to be there when it happens!"".","Failed"
1.0,1.0,1.0,0.0858839750289917,"OK, the other reviewers have pretty much covered the main points of this great little gem, i.e. the story started out in life as material for Buster Keaton's silent classic ""7 Chances"". Comedy, or acting in any genre for that much, is merely interpreting a scene and lines that someone else has written and performed before, if it's not a totally original creation. Here we have The Stooges essentially doing material that was written and performed by someone else and yet for a low budget, short time span of a film, they're handling things just fine. Regardless of what the credits say on their films, real ""stooge-philes"" know that they had a lot of input on lines and direction. They took their work as seriously as a surgeon does a vital operation. Words spoken by Emil Sitka himself during a documentary about the boys. Here, what appears to be their usual anarchy over something so simple as getting married, is actually organized chaos. Every line is perfectly timed with a related physical action. How many comedians are around today that can claim such mastery? Most obviously the Seinfeld crew but none others that I've seen in the last 35 years of watching TV. The critics will always ""pooh pooh"" The Stooges or Laurel & Hardy and others but then again...who ever remembers the critic's names or what they said? Simply watch, laugh and enjoy!",1.0,0.0858839750289917,"OK, the other reviewers have pretty much covered the main points of this great little gem, i.e. the story started out in life as material for Buster Keaton's silent classic ""7 Chances"". Comedy, or acting in any genre for that much, is merely interpreting a scene and lines that someone else has written and performed before, if it's not a totally original creation. Here we have The Stooges essentially doing material that was written and performed by someone else and yet for a low budget, short time span of a film, they're handling things just fine. Regardless of what the credits say on their films, real ""stooge-philes"" know that they had a lot of input on lines and direction. They took their work as seriously as a surgeon does a vital operation. Words spoken by Emil Sitka himself during a documentary about the boys. Here, what appears to be their usual anarchy over something so simple as getting married, is actually organized chaos. Every line is perfectly timed with a related physical action. How many comedians are around today that can claim such mastery? Most obviously the Seinfeld crew but none others that I've seen in the last 35 years of watching TV. The critics will always ""pooh pooh"" The Stooges or Laurel & Hardy and others but then again...who ever remembers the critic's names or what they said? Simply watch, laugh and enjoy!","Failed"
0.0,1.0,0.0,0.03496915102005005,"Personally I've watched it because of Lea Thompson's appearance and I didn't really expect to enjoy the movie as such, but surprisingly I kept watching it until the end.<br /><br />Let's face it - it just one of the saga-like stories and isn't particularly original or entertaining, but strangely it just keeps you by the TV. My opinion about Will of Their Own would be much better if there wouldn't be one point that I just don't get.<br /><br />There is lovely and really touchy scene in which Lea Thompson's character is running on the street holding baby in her arms, the snow is falling, she is cold, scared, and has no place to stay, she doesn't know what to do next. And then about 10-12 years later, when things are better for her, she just leaves the same kid without any warning to take up the career she was dreaming about.<br /><br />I just don't get it - I don't see how is it possible that she would do such thing, it was the opposite action to all that she done so far in her life when all that she was doing was aimed on that child survival. After this character flip I just couldn't enjoy rest of the movie.",0.0,0.03496915102005005,"Personally I've watched it because of Lea Thompson's appearance and I didn't really expect to enjoy the movie as such, but surprisingly I kept watching it until the end.<br /><br />Let's face it - it just one of the saga-like stories and isn't particularly original or entertaining, but strangely it just keeps you by the TV. My opinion about Will of Their Own would be much better if there wouldn't be one point that I just don't get.<br /><br />There is lovely and really touchy scene in which Lea Thompson's character is running on the street holding baby in her arms, the snow is falling, she is cold, scared, and has no place to stay, she doesn't know what to do next. And then about 10-12 years later, when things are better for her, she just leaves the same kid without any warning to take up the career she was dreaming about.<br /><br />I just don't get it - I don't see how is it possible that she would do such thing, it was the opposite action to all that she done so far in her life when all that she was doing was aimed on that child survival. After this character flip I just couldn't enjoy rest of the movie.","Failed"
0.0,1.0,0.0,0.00020104646682739258,"Before you dismiss my post as ""not getting it"", let me say...I'm one of the biggest Richard Kelly and ""The Twilight Zone"" fans out there. Donnie Darko is one my all-time favorites and I even thought Southland Tales had it's moments. I'm a HUGE sci-fi fan. I was very excited to see ""The Box"", couldn't wait for it to come out.<br /><br />Having said that...""The Box"" is terrible. Behind ""Drag Me To Hell"", this was the worst movie I've seen in 2009. And it just simply WILL NOT end! Whenever you think you've reached the end, another change in the plot and you're off to more torture. I was actually groaning in the theater by the end of the film...I could hardly take it anymore.<br /><br />The biggest problem with ""The Box"", no matter how you slice it or try to justify it, is that it simply makes little sense. Trust me, I ""got it"", I understood what was going on. But that doesn't mean it makes a lot of sense looking back on it. Take the basics for example. The main couple...Cameron Diaz and James Marsden, playing Norma and Arthur Lewis. Diaz loses her finances at her job, then bemoans to her husband that they are ""living paycheck to paycheck"". Well, sell that f-ing Porsche your husband is driving then!!! They live in a beautiful 2-story house in a nice subdivision. Marsden is working what seems to be a high-paid job at NASA and Diaz is an accomplished teacher. And, yes, Marsden drives an overly expensive car. But they are somehow living paycheck to paycheck?!? No need to press the button, just cut down your high-priced lifestyle a bit! The movie would have worked better if they showed the couple jobless and in serious debt. Instead, they are seemingly desperate for money...all the while living what I would call a luxurious lifestyle. Like I said...you can understand what's going on, yet it still makes little sense! That's a rare combination.<br /><br />There was an awful scene in a library that I feel will go down as one of the worst segments in movie history (terribly acted too by the way). It was idiotic, illogical and out of place. I can't even begin to fully describe it actually, so I will move onto a subplot that involves nose-bleeds and body possession by aliens. (Yes, I'm being serious unfortunately). A kid is in Diaz's class with a wicked and smile on his face (a sinister smile that seemingly goes by completely unnoticed by everyone in authority at the school). He starts asking Diaz personal questions, literally embarrassing her in front of her class. No punishment is given to the kid whatsoever...he didn't even get asked to stay after class for a talk! Then Diaz is at a party...and the same kid is one of the hired help...ironed shirt, apron and all! I don't know many alien-possessed kids (who appear to be in Junior High) that also moonlight as a bus-boy at parties sponsored by teachers and school officials...but we found one here! (See what I mean...you can understand it completely, but it still makes no sense...a rare combo!) Like many things in the movie, the kid comes and goes...no real explanation about him, no ending to his character. Moving on... A lady then approaches Diaz in a grocery store, telling her that experiments are being ran secretly and her family is one of the test subjects. Well...hmmm...if aliens possess the powers where they can take over a body remotely...and the aliens don't want to help Diaz...then who was taking over this lady's body and giving Diaz advice?! Again...The lady was trying to help Diaz...and the aliens weren't interested in helping Diaz...so who the hell was controlling her body?! Never explained. Never talked about again. No nothing!! It goes on and on and on like this for, what seemed to me like, 2 weeks. It would not end! I wonder if this movie underwent a massive re-shoot at some point. It was poorly edited. Diaz's accent was there one minute, gone the next. Sub-plots began but never ended. The numerous push-backs of the release date obviously shows the problems the producers had with the finished product. It's truly a train-wreck.<br /><br />Pass on this one...there's no redeeming value in it whatsoever. 3 out of 10, just because I like Diaz and sci-fi! But it probably deserves a 1 out of 10.<br /><br />Thanks for reading! <br /><br />JD",0.0,0.00020104646682739258,"Before you dismiss my post as ""not getting it"", let me say...I'm one of the biggest Richard Kelly and ""The Twilight Zone"" fans out there. Donnie Darko is one my all-time favorites and I even thought Southland Tales had it's moments. I'm a HUGE sci-fi fan. I was very excited to see ""The Box"", couldn't wait for it to come out.<br /><br />Having said that...""The Box"" is terrible. Behind ""Drag Me To Hell"", this was the worst movie I've seen in 2009. And it just simply WILL NOT end! Whenever you think you've reached the end, another change in the plot and you're off to more torture. I was actually groaning in the theater by the end of the film...I could hardly take it anymore.<br /><br />The biggest problem with ""The Box"", no matter how you slice it or try to justify it, is that it simply makes little sense. Trust me, I ""got it"", I understood what was going on. But that doesn't mean it makes a lot of sense looking back on it. Take the basics for example. The main couple...Cameron Diaz and James Marsden, playing Norma and Arthur Lewis. Diaz loses her finances at her job, then bemoans to her husband that they are ""living paycheck to paycheck"". Well, sell that f-ing Porsche your husband is driving then!!! They live in a beautiful 2-story house in a nice subdivision. Marsden is working what seems to be a high-paid job at NASA and Diaz is an accomplished teacher. And, yes, Marsden drives an overly expensive car. But they are somehow living paycheck to paycheck?!? No need to press the button, just cut down your high-priced lifestyle a bit! The movie would have worked better if they showed the couple jobless and in serious debt. Instead, they are seemingly desperate for money...all the while living what I would call a luxurious lifestyle. Like I said...you can understand what's going on, yet it still makes little sense! That's a rare combination.<br /><br />There was an awful scene in a library that I feel will go down as one of the worst segments in movie history (terribly acted too by the way). It was idiotic, illogical and out of place. I can't even begin to fully describe it actually, so I will move onto a subplot that involves nose-bleeds and body possession by aliens. (Yes, I'm being serious unfortunately). A kid is in Diaz's class with a wicked and smile on his face (a sinister smile that seemingly goes by completely unnoticed by everyone in authority at the school). He starts asking Diaz personal questions, literally embarrassing her in front of her class. No punishment is given to the kid whatsoever...he didn't even get asked to stay after class for a talk! Then Diaz is at a party...and the same kid is one of the hired help...ironed shirt, apron and all! I don't know many alien-possessed kids (who appear to be in Junior High) that also moonlight as a bus-boy at parties sponsored by teachers and school officials...but we found one here! (See what I mean...you can understand it completely, but it still makes no sense...a rare combo!) Like many things in the movie, the kid comes and goes...no real explanation about him, no ending to his character. Moving on... A lady then approaches Diaz in a grocery store, telling her that experiments are being ran secretly and her family is one of the test subjects. Well...hmmm...if aliens possess the powers where they can take over a body remotely...and the aliens don't want to help Diaz...then who was taking over this lady's body and giving Diaz advice?! Again...The lady was trying to help Diaz...and the aliens weren't interested in helping Diaz...so who the hell was controlling her body?! Never explained. Never talked about again. No nothing!! It goes on and on and on like this for, what seemed to me like, 2 weeks. It would not end! I wonder if this movie underwent a massive re-shoot at some point. It was poorly edited. Diaz's accent was there one minute, gone the next. Sub-plots began but never ended. The numerous push-backs of the release date obviously shows the problems the producers had with the finished product. It's truly a train-wreck.<br /><br />Pass on this one...there's no redeeming value in it whatsoever. 3 out of 10, just because I like Diaz and sci-fi! But it probably deserves a 1 out of 10.<br /><br />Thanks for reading! <br /><br />JD","Failed"
1.0,1.0,1.0,0.0002478957176208496,"Who will love my children has changed my heart, it made me cry all the way through, the most i cried with was when the family had to say goodbye to the baby, i cried the most with that, and each time a child was adopted, i cried when they had to say goodbye to their mother, it was sad for them to lose their mother, I felt sorry for the kid with epilepsy, i was glad he was adopted by the same family as one of his brothers. To me that boy i thought was the special one because he was going in a home. I feel that i am special because i am in a world with Aspergers Syndrome and sometimes when i feel down, i sometimes like to cry. I really enjoyed this movie, 10 out of 10. A true story, very good. Another movie that would bring tears to your eyes i think would haver to be Tuesday's With Morrie (http://www.imdb.com/title/tt0207805)",1.0,0.0002478957176208496,"Who will love my children has changed my heart, it made me cry all the way through, the most i cried with was when the family had to say goodbye to the baby, i cried the most with that, and each time a child was adopted, i cried when they had to say goodbye to their mother, it was sad for them to lose their mother, I felt sorry for the kid with epilepsy, i was glad he was adopted by the same family as one of his brothers. To me that boy i thought was the special one because he was going in a home. I feel that i am special because i am in a world with Aspergers Syndrome and sometimes when i feel down, i sometimes like to cry. I really enjoyed this movie, 10 out of 10. A true story, very good. Another movie that would bring tears to your eyes i think would haver to be Tuesday's With Morrie (http://www.imdb.com/title/tt0207805)","Failed"
0.0,1.0,0.0,0.00017768144607543945,"University Professor Justin Thorne (Jimmy Smits) has got it made. A good-looking, sophisticated teacher, with a loving wife and two adorable children. He plays the saxophone, owns an expensive car and his students love and respect him. But when temptation calls, in the form of one of his bright, pretty, sexy and willing students, Jennifer Carter (Naomi Watts), he foolishly gives in. The next day, he is being charged with her rape, and his perfect life could be forever ruined.<br /><br />When we see an American actor in Australian film, we know we are not in for a masterpiece. But even viewed with low expectations, ""Gross Misconduct"" is a huge flop. Based on a play with a rather unimaginative title and then adapted into a reasonably enjoyable book, it fails to engage, convince or even remotely interest its audience on a most fundamental level. The script is awkward and unconvincing; the acting is, for most part, not much better. Watts gives an acceptable performance, demonstrating for one of the first times on screen her emotion rawness, but she is the only good thing about the film, which seems almost like even it can't wait to be over.<br /><br />The direction is not horrible or distracting in anyway, but it is just painfully mediocre. Apart from the afore-mentioned Naomi Watts, who could be forgiven, seeing as this was early in her career, the acting is wooden and gets steadily worse over the course of the movie. The usually reliable Jimmy Smits doesn't seem to have been trying in this one, and who could really blame him? All these small failures, however, only add to the film's ultimate fatal flaw, which is that the focus is entirely in the wrong place. Any empathy for the characters or interest in the outcome is lost in a sea of what is basically soft-core entertainment of an adult kind. By the end, audiences will probably be bored, tired and wishing they'd done something else with their ninety minutes. Unless you just want to see Naomi get naked 4 or 5 times, you could definitely afford to give this nonevent film a miss.",0.0,0.00017768144607543945,"University Professor Justin Thorne (Jimmy Smits) has got it made. A good-looking, sophisticated teacher, with a loving wife and two adorable children. He plays the saxophone, owns an expensive car and his students love and respect him. But when temptation calls, in the form of one of his bright, pretty, sexy and willing students, Jennifer Carter (Naomi Watts), he foolishly gives in. The next day, he is being charged with her rape, and his perfect life could be forever ruined.<br /><br />When we see an American actor in Australian film, we know we are not in for a masterpiece. But even viewed with low expectations, ""Gross Misconduct"" is a huge flop. Based on a play with a rather unimaginative title and then adapted into a reasonably enjoyable book, it fails to engage, convince or even remotely interest its audience on a most fundamental level. The script is awkward and unconvincing; the acting is, for most part, not much better. Watts gives an acceptable performance, demonstrating for one of the first times on screen her emotion rawness, but she is the only good thing about the film, which seems almost like even it can't wait to be over.<br /><br />The direction is not horrible or distracting in anyway, but it is just painfully mediocre. Apart from the afore-mentioned Naomi Watts, who could be forgiven, seeing as this was early in her career, the acting is wooden and gets steadily worse over the course of the movie. The usually reliable Jimmy Smits doesn't seem to have been trying in this one, and who could really blame him? All these small failures, however, only add to the film's ultimate fatal flaw, which is that the focus is entirely in the wrong place. Any empathy for the characters or interest in the outcome is lost in a sea of what is basically soft-core entertainment of an adult kind. By the end, audiences will probably be bored, tired and wishing they'd done something else with their ninety minutes. Unless you just want to see Naomi get naked 4 or 5 times, you could definitely afford to give this nonevent film a miss.","Failed"
