,original_text,ground_truth_output
0,"what is Internet2>>>>In October, 2007, Internet2 officially retired Abilene and now refers to its new, higher capacity network as the Internet2 Network.",1.0
1,"What is Donald Davies credited with>>>>Davies is credited with coining the modern name packet switching and inspiring numerous packet switching networks in Europe in the decade following, including the incorporation of the concept in the early ARPANET in the United States.",0.0
2,"Phagocytosis first evolved as means of doing what?>>>>Phagocytes generally patrol the body searching for pathogens, but can be called to specific locations by cytokines.",1.0
3,"How many former MVP honorees were present for a pregame ceremony?>>>>In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players.",0.0
4,"What tactic did researchers employ to offset the former deficit of work surrounding the complexity of algorithmic problems?>>>>Before the actual research explicitly devoted to the complexity of algorithmic problems started off, numerous foundations were laid out by various researchers.",0.0
5,"When was Thoreau's essay published?>>>>The tax collector who arrested him rose to higher political office, and Thoreau's essay was not published until after the end of the Mexican War.",0.0
6,"Who makes formal appointment or dismissal decisions?>>>>Theoretically, Parliament also elects the Scottish Ministers who form the government of Scotland and sit in the Scottish cabinet, but such ministers are, in practice, appointed to their roles by the First Minister.",1.0
7,The United States is divided into how many jurisdictions?>>>>Subordinate to the General Conference are the jurisdictional and central conferences which also meet every four years.,1.0
8,"Which empire bordered the Mongol Empire to the west in 1218?>>>>By 1218, as a result of defeat of Qara Khitai, the Mongol Empire and its control extended as far west as Lake Balkhash, which bordered the Khwarezmia (Khwarezmid Empire), a Muslim state that reached the Caspian Sea to the west and Persian Gulf and the Arabian Sea to the south.",0.0
9,What is the name of the professional skateboarder that lives in southern California?>>>>Southern California is also important to the world of yachting.,1.0
10,"What was Genghis Khan's tribes burial custom?>>>>The Genghis Khan Mausoleum, constructed many years after his death, is his memorial, but not his burial site.",1.0
11,What Doctor Who actor won a Best Actor award in 2012?>>>>Doctor Who has been nominated for over 200 awards and has won over a hundred of them.,1.0
12,What percentage of France's population is protestant today?>>>>Approximately one million Protestants in modern France represent some 2% of its population.,0.0
13,What makes red algae red?>>>>Rhodoplasts have chlorophyll a and phycobilins for photosynthetic pigments; the phycobilin phycoerytherin is responsible for giving many red algae their distinctive red color.,0.0
14,"What manner of words does Mullet think Luther would choose?>>>>He is sometimes also quoted as saying: ""Here I stand.",1.0
15,The business allowed for private companies to do what>>>>The private networks were often connected via gateways to the public network to reach locations not on the private network.,1.0
16,How do academic results in former Model C schools compare to other schools?>>>>These schools tend to produce better academic results than government schools formerly reserved for other race groups .,0.0
17,"What is the eukaryotic parasite responsible for malaria known as?>>>>Some examples of intracellular pathogens include viruses, the food poisoning bacterium Salmonella and the eukaryotic parasites that cause malaria (Plasmodium falciparum) and leishmaniasis (Leishmania spp.).",0.0
18,"What was Norman Cantor's theory about the plague?>>>>Twigg suggested that the cause was a form of anthrax, and Norman Cantor (2001) thought it may have been a combination of anthrax and other pandemics.",0.0
19,"What countries does Kenya compete with for long distance running?>>>>Kenyan athletes (particularly Kalenjin) continue to dominate the world of distance running, although competition from Morocco and Ethiopia has reduced this supremacy.",0.0
20,"A replica of what landmark was present at Super Bowl Opening Night?>>>>Alongside the traditional media availabilities, the event featured an opening ceremony with player introductions on a replica of the Golden Gate Bridge.",0.0
21,"Who suffered a broken arm in the NFC Championship Game?>>>>Carolina suffered a major setback when Thomas Davis, an 11-year veteran who had already overcome three ACL tears in his career, went down with a broken arm in the NFC Championship Game.",0.0
22,"When did President Uhuru Kenyatta sign a Security Law Amendment Bill?>>>>In December 2014, President Uhuru Kenyatta signed a Security Laws Amendment Bill, which supporters of the law suggested was necessary to guard against armed groups.",0.0
23,"What is the first line of defense against pathogens that prevents them from entering an organism?>>>>This improved response is then retained after the pathogen has been eliminated, in the form of an immunological memory, and allows the adaptive immune system to mount faster and stronger attacks each time this pathogen is encountered.",1.0
24,"In what year did Lavoisier publish his work on combustion?>>>>In one experiment, Lavoisier observed that there was no overall increase in weight when tin and air were heated in a closed container.",1.0
25,What is the lowest recorded temperature in Victoria?>>>>Temperature extremes for the state are listed in the table below:,1.0
26,"Where does the Ijssel branch flow?>>>>The river IJssel branch flows to the north and enters the IJsselmeer, formerly the Zuider Zee brackish lagoon; however, since 1932, a freshwater lake.",0.0
27,"What did Warsz own?>>>>In actuality, Warsz was a 12th/13th-century nobleman who owned a village located at the modern-day site of Mariensztat neighbourhood.",0.0
